"","pop","fun","family","temp","rep","date","stage","num","count","per","fail","prop","success","ffun","ftemp","fpop","Failure","E1","Success","PRes2","PER","PERT"
"2488","FF","Control","Control","RT",2488,"D124",2,228,2,0.877192982,99.12280702,0.00877193,0.0087719298245614,"Control","RT","FF",226,-0.177042775938504,0.0087719298245614,-0.83508632960743,0.00877192982,0.0115950796486207
"2489","FF","Control","Control","RT",2489,"D124",2,130,2,1.538461538,98.46153846,0.015384615,0.0153846153846154,"Control","RT","FF",128,-0.14695701502752,0.0153846153846154,-0.168140411773883,0.01538461538,0.0181697612686207
"2490","FF","Control","Control","RT",2490,"D124",2,298,5,1.677852349,98.32214765,0.016778523,0.0167785234899329,"Control","RT","FF",293,-0.140615145941378,0.0167785234899329,-0.0812387714697103,0.01677852349,0.0195556584124713
"2491","FF","Control","Control","GC",2491,"D124",2,198,0,0,100,0,0,"Control","GC","FF",198,-0.244889039823161,0,-2.62542384397472,0,0.0028735632183908
"2492","FF","Control","Control","GC",2492,"D124",2,364,37,10.16483516,89.83516484,0.101648352,0.101648351648352,"Control","GC","FF",327,0.174593097578182,0.101648351648352,-0.743185880684244,0.1016483516,0.103937728889655
"2493","FF","Control","Control","GC",2493,"D124",2,570,0,0,100,0,0,"Control","GC","FF",570,-0.244889039823161,0,-2.827867532491,0,0.0028735632183908
"2494","FF","Control","Control","GC",2494,"D124",2,461,0,0,100,0,0,"Control","GC","FF",461,-0.244889039823161,0,-2.79979151363922,0,0.0028735632183908
"2495","FF","Control","Control","GC",2495,"D124",2,520,70,13.46153846,86.53846154,0.134615385,0.134615384615385,"Control","GC","FF",450,0.31064135855776,0.134615384615385,-0.0901662911417246,0.1346153846,0.136715296182759
"2498","FF","Control","Control","GC",2498,"D124",2,342,83,24.26900585,75.73099415,0.242690058,0.242690058479532,"Control","GC","FF",259,0.756643625125998,0.242690058479532,2.04966727666839,0.2426900585,0.244168851267241
"2502","MX","pev_tul","Tul","RT",2502,"D124",2,201,2,0.995024876,99.00497512,0.009950249,0.0099502487562189,"pev_tul","RT","MX",199,-0.206009122261855,0.0099502487562189,-1.06896803894005,0.00995024876,0.0127666266406897
"2503","MX","pev_tul","Tul","RT",2503,"D124",2,191,4,2.094240838,97.90575916,0.020942408,0.0209424083769634,"pev_tul","RT","MX",187,-0.160930957309994,0.0209424083769634,-0.26412693863795,0.02094240838,0.0236956129295402
"2504","MX","pev_tul","Tul","RT",2504,"D124",2,165,2,1.212121212,98.78787879,0.012121212,0.0121212121212121,"pev_tul","RT","MX",163,-0.197106136149056,0.0121212121212121,-0.853894558846547,0.01212121212,0.0149251131997701
"2505","MX","pev_tul","Tul","RT",2505,"D124",2,78,2,2.564102564,97.43589744,0.025641026,0.0256410256410256,"pev_tul","RT","MX",76,-0.141662219299079,0.0256410256410256,0.0521694907253328,0.02564102564,0.028367226642069
