,pop,fun,family,temp,rep,date,stage,num,count,count,total_count,per_old,per,per_arc,fail,fail_arc,per_arc_pi,per_log,ffun,ftemp,fpop,success_old,Failure_old,PRes2,PER,PERT,E1,PER.01,PER.01.flip,Success_old,success1_old
63,FF,pev_cerato,Cerato,RT,2263,D124,1,161,84,15,99,52.17391304,0.614906832,0.807144149,47.82608696,0.763652178,46.24595318,3.97356792,pev_cerato,RT,FF,0.52173913,77,0.896392278,0.52173913,0.521614193,3.92355653,1,0,0.52173913,84
64,FF,pev_cerato,Cerato,RT,2264,D124,1,154,81,11,92,52.5974026,0.597402597,0.811383886,47.4025974,0.759412441,46.48887222,3.981500608,pev_cerato,RT,FF,0.525974026,73,0.924657009,0.525974026,0.52582475,3.946029104,1,0,0.525974026,81
65,FF,pev_cerato,Cerato,RT,2265,D124,1,50,0,0,0,0,0,0,100,1.570796327,0,0,pev_cerato,RT,FF,0,50,-2.57433779,0,0.002873563,-5.445257659,0,1,0,0
66,FF,pev_cerato,Cerato,RT,2266,D124,1,150,94,5,99,62.66666667,0.66,0.913460386,37.33333333,0.657335941,52.33742487,4.153661139,pev_cerato,RT,FF,0.626666667,56,1.627567,0.626666667,0.625938697,6.445560969,1,0,0.626666667,94
67,FF,pev_cerato,Cerato,RT,2267,D124,1,69,0,0,0,0,0,0,100,1.570796327,0,0,pev_cerato,RT,FF,0,69,-2.643595018,0,0.002873563,-6.396729378,0,1,0,0
68,FF,pev_cerato,Cerato,RT,2268,D124,1,335,100,29,129,29.85074627,0.385074627,0.578010087,70.14925373,0.99278624,33.11753848,3.42916094,pev_cerato,RT,FF,0.298507463,235,-0.679593908,0.298507463,0.299665466,-2.792461394,1,0,0.298507463,100
69,FF,pev_cerato,Cerato,RT,2269,D124,1,137,60,14,74,43.79562044,0.540145985,0.723194032,56.20437956,0.847602295,41.4359658,3.802110377,pev_cerato,RT,FF,0.437956204,77,0.307573214,0.437956204,0.438312778,1.590693067,1,0,0.437956204,60
70,FF,pev_cerato,Cerato,RT,2270,D124,1,109,0,0,0,0,0,0,100,1.570796327,0,0,pev_cerato,RT,FF,0,109,-2.716076705,0,0.002873563,-8.039826585,0,1,0,0
71,FF,pev_cerato,Cerato,GC,2271,D124,1,231,100,104,204,43.29004329,0.883116883,0.718095542,56.70995671,0.852700784,41.14384387,3.790759895,pev_cerato,GC,FF,0.432900433,131,2.753047742,0.432900433,0.433286063,8.03355551,1,0,0.432900433,100
72,FF,pev_cerato,Cerato,GC,2272,D124,1,260,74,94,168,28.46153846,0.646153846,0.562725677,71.53846154,1.00807065,32.24180632,3.383085632,pev_cerato,GC,FF,0.284615385,186,0.8932454,0.284615385,0.285853227,2.708227726,1,0,0.284615385,74
73,FF,pev_cerato,Cerato,GC,2273,D124,1,348,82,221,303,23.56321839,0.870689655,0.506843036,76.43678161,1.063953291,29.03996683,3.201250137,pev_cerato,GC,FF,0.235632184,266,0.276720168,0.235632184,0.237151539,0.911018281,1,0,0.235632184,82
74,FF,pev_cerato,Cerato,GC,2274,D124,1,236,137,21,158,58.05084746,0.669491525,0.866258644,41.94915254,0.704537683,49.63296425,4.078398894,pev_cerato,GC,FF,0.580508475,99,4.615350263,0.580508475,0.580045782,13.63456736,1,0,0.580508475,137
75,FF,pev_cerato,Cerato,GC,2275,D124,1,313,81,102,183,25.87859425,0.584664537,0.533685849,74.12140575,1.037110477,30.57794676,3.291330217,pev_cerato,GC,FF,0.258785942,232,0.571150251,0.258785943,0.26017223,1.860168748,1,0,0.258785942,81
76,FF,pev_cerato,Cerato,GC,2276,D124,1,262,38,90,128,14.50381679,0.488549618,0.390703256,85.49618321,1.180093071,22.38564761,2.741086238,pev_cerato,GC,FF,0.145038168,224,-0.873928262,0.145038168,0.147078178,-2.775620472,1,0,0.145038168,38
77,FF,pev_cerato,Cerato,GC,2277,D124,1,325,72,118,190,22.15384615,0.584615385,0.490059883,77.84615385,1.080736443,28.07836302,3.142160907,pev_cerato,GC,FF,0.221538462,253,0.095750147,0.221538462,0.223138815,0.26250959,1,0,0.221538462,72
78,FF,pev_cerato,Cerato,GC,2278,D124,1,337,41,128,169,12.16617211,0.50148368,0.356290814,87.83382789,1.214505512,20.41395994,2.577650821,pev_cerato,GC,FF,0.121661721,296,-1.183129646,0.121661721,0.123836079,-4.191530321,1,0,0.121661721,41
79,FF,pev_cerato,Cerato,GC,2279,D124,1,303,63,85,148,20.79207921,0.488448845,0.473476775,79.20792079,1.097319552,27.12822091,3.081546565,pev_cerato,GC,FF,0.207920792,240,-0.078151462,0.207920792,0.209599408,-0.32298801,1,0,0.207920792,63
80,FF,pev_cerato,Cerato,GC,2280,D124,1,344,23,169,192,6.686046512,0.558139535,0.26154561,93.31395349,1.309250717,14.98545962,2.039406544,pev_cerato,GC,FF,0.066860465,321,-1.886432913,0.066860465,0.069349773,-6.706634289,1,0,0.066860465,23
81,FF,Control,Control,RT,2281,D124,1,173,54,1,55,31.21387283,0.317919075,0.592810004,68.78612717,0.977986323,33.96551127,3.472397193,Control,RT,FF,0.312138728,119,1.045405918,0.312138728,0.313218391,2.936949898,1,0,0.312138728,54
82,FF,Control,Control,RT,2282,D124,1,138,0,0,0,0,0,0,100,1.570796327,0,0,Control,RT,FF,0,138,-2.610163392,0,0.002873563,-6.233162658,0,1,0,0
83,FF,Control,Control,RT,2283,D124,1,226,54,3,57,23.89380531,0.252212389,0.510728489,76.10619469,1.060067838,29.26258689,3.21461899,Control,RT,FF,0.238938053,172,0.180551482,0.238938053,0.240438409,0.698957581,1,0,0.238938053,54
84,FF,Control,Control,RT,2284,D124,1,205,56,8,64,27.31707317,0.312195122,0.549964982,72.68292683,1.020831345,31.51067236,3.343464915,Control,RT,FF,0.273170732,149,0.589760185,0.273170732,0.274474348,1.849498368,1,0,0.273170732,56
85,FF,Control,Control,RT,2285,D124,1,242,78,4,82,32.23140496,0.338842975,0.603742209,67.76859504,0.967054118,34.59188048,3.503495361,Control,RT,FF,0.32231405,164,1.189349415,0.32231405,0.323335233,3.85592346,1,0,0.32231405,78
86,FF,Control,Control,RT,2286,D124,1,95,0,0,0,0,0,0,100,1.570796327,0,0,Control,RT,FF,0,95,-2.517821639,0,0.002873563,-5.171668982,0,1,0,0
87,FF,Control,Control,RT,2287,D124,1,284,80,12,92,28.16901408,0.323943662,0.55947922,71.83098592,1.011317107,32.05579803,3.373106984,Control,RT,FF,0.281690141,204,0.703428438,0.281690141,0.282944795,2.523650451,1,0,0.281690141,80
88,FF,Control,Control,RT,2288,D124,1,228,50,2,52,21.92982456,0.228070175,0.487357752,78.07017544,1.083438575,27.9235423,3.132438446,Control,RT,FF,0.219298246,178,-0.056105408,0.219298246,0.220911474,-0.014211058,1,0,0.219298246,50
89,FF,Control,Control,RT,2289,D124,1,130,34,2,36,26.15384615,0.276923077,0.536822826,73.84615385,1.0339735,30.7576823,3.301518699,Control,RT,FF,0.261538462,96,0.435853985,0.261538462,0.26290893,1.15248574,1,0,0.261538462,34
90,FF,Control,Control,RT,2290,D124,1,298,43,5,48,14.4295302,0.161073826,0.389647342,85.5704698,1.181148985,22.32514817,2.736283219,Control,RT,FF,0.144295302,255,-0.972487159,0.144295302,0.146339582,-3.143400206,1,0,0.144295302,43
91,FF,Control,Control,GC,2291,D124,1,198,0,0,0,0,0,0,100,1.570796327,0,0,Control,GC,FF,0,198,-2.75512869,0,0.002873563,-7.487232311,0,1,0,0
92,FF,Control,Control,GC,2292,D124,1,364,167,37,204,45.87912088,0.56043956,0.744142576,54.12087912,0.826653751,42.63622897,3.847572393,Control,GC,FF,0.458791209,197,0.977678652,0.458791209,0.459028041,10.9562256,1,0,0.458791209,167
93,FF,Control,Control,GC,2293,D124,1,570,0,0,0,0,0,0,100,1.570796327,0,0,Control,GC,FF,0,570,-2.820016692,0,0.002873563,-12.70358042,0,1,0,0
94,FF,Control,Control,GC,2294,D124,1,461,0,0,0,0,0,0,100,1.570796327,0,0,Control,GC,FF,0,461,-2.811597738,0,0.002873563,-11.42455193,0,1,0,0
95,FF,Control,Control,GC,2295,D124,1,520,236,70,306,45.38461538,0.588461538,0.739178521,54.61538462,0.831617806,42.35180954,3.836967839,Control,GC,FF,0.453846154,284,0.942513939,0.453846154,0.454111406,12.82326695,1,0,0.453846154,236
98,FF,Control,Control,GC,2298,D124,1,342,65,83,148,19.00584795,0.432748538,0.451101341,80.99415205,1.119694985,25.846203,2.996024628,Control,GC,FF,0.19005848,277,-1.233503563,0.19005848,0.191839753,-1.364357289,1,0,0.19005848,65
102,MX,pev_tul,Tul,RT,2302,D124,1,201,78,2,80,38.80597015,0.39800995,0.672501,61.19402985,0.898295327,38.53146901,3.684016905,pev_tul,RT,MX,0.388059701,123,-0.166295854,0.388059702,0.388703037,-0.108335065,1,0,0.388059701,78
103,MX,pev_tul,Tul,RT,2303,D124,1,191,72,4,76,37.69633508,0.397905759,0.661084721,62.30366492,0.909711606,37.8773644,3.655744895,pev_tul,RT,MX,0.376963351,119,-0.240830039,0.376963351,0.377670458,-0.419760395,1,0,0.376963351,72
104,MX,pev_tul,Tul,RT,2304,D124,1,165,49,2,51,29.6969697,0.309090909,0.5763286,70.3030303,0.994467727,33.02119637,3.424163943,pev_tul,RT,MX,0.296969697,116,-0.776504707,0.296969697,0.298136538,-2.495106793,1,0,0.296969697,49
105,MX,pev_tul,Tul,RT,2305,D124,1,78,45,2,47,57.69230769,0.602564103,0.862627963,42.30769231,0.708168364,49.42494155,4.072308674,pev_tul,RT,MX,0.576923077,33,1.066320287,0.576923077,0.57648099,3.349486927,1,0,0.576923077,45
106,MX,pev_tul,Tul,RT,2306,D124,1,106,61,9,70,57.54716981,0.660377358,0.86115943,42.45283019,0.709636896,49.34080085,4.069832751,pev_tul,RT,MX,0.575471698,45,1.074018339,0.575471698,0.575037953,3.874055053,1,0,0.575471698,61
107,MX,pev_tul,Tul,RT,2307,D124,1,64,34,1,35,53.125,0.546875,0.816668544,46.875,0.754127782,46.79166085,3.991296186,pev_tul,RT,MX,0.53125,30,0.759848955,0.53125,0.531070402,2.285529024,1,0,0.53125,34
108,MX,pev_tul,Tul,RT,2308,D124,1,97,59,2,61,60.82474227,0.628865979,0.894509528,39.17525773,0.676286799,51.25162069,4.124303645,pev_tul,RT,MX,0.608247423,38,1.284887031,0.608247423,0.607625311,4.367221919,1,0,0.608247423,59
109,MX,pev_tul,Tul,RT,2309,D124,1,62,42,0,42,67.74193548,0.677419355,0.966768936,32.25806452,0.604027391,55.3917798,4.230359428,pev_tul,RT,MX,0.677419355,20,1.692946074,0.677419355,0.676399703,4.607289632,1,0,0.677419355,42
110,MX,pev_tul,Tul,RT,2310,D124,1,44,27,5,32,61.36363636,0.727272727,0.900036265,38.63636364,0.670760062,51.56827939,4.132982355,pev_tul,RT,MX,0.613636364,17,1.248248734,0.613636364,0.612983281,3.014571267,1,0,0.613636364,27
111,MX,pev_tul,Tul,GC,2311,D124,1,167,30,61,91,17.96407186,0.54491018,0.437681262,82.03592814,1.133115065,25.07728909,2.942546234,pev_tul,GC,MX,0.179640719,137,-0.122731996,0.179640719,0.181481864,-2.521139995,1,0,0.179640719,30
112,MX,pev_tul,Tul,GC,2312,D124,1,237,42,68,110,17.72151899,0.464135021,0.434513705,82.27848101,1.136282621,24.89580146,2.92967361,pev_tul,GC,MX,0.17721519,195,-0.160287238,0.17721519,0.179070275,-3.08792245,1,0,0.17721519,42
113,MX,pev_tul,Tul,GC,2313,D124,1,116,0,0,0,0,0,0,100,1.570796327,0,0,pev_tul,GC,MX,0,116,-2.510966049,0,0.002873563,-6.480808234,0,1,0,0
114,MX,pev_tul,Tul,GC,2314,D124,1,181,56,51,107,30.93922652,0.591160221,0.589842817,69.06077348,0.980953509,33.79550401,3.463834926,pev_tul,GC,MX,0.309392265,125,1.679728084,0.309392265,0.310487712,1.326729694,1,0,0.309392265,56
